지점,지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),평균 풍속(m/s),평균 상대습도(%)
108,서울,2025-01-28,-3.9,-5.3,-2.5,22.58,,,,,.1,4,71.3
108,서울,2025-01-29,-4.6,-6.4,-1.3,11.75,,,,,.2,3.1,66.1
108,서울,2025-01-30,-3.8,-7.5,-1,,,,,,,1.6,46.6
108,서울,2025-01-31,-.8,-2.6,.7,17.92,,,,,2.4,2.1,80.1
108,서울,2025-02-01,1.6,-2,7.9,,,,,,,1.6,74.3
108,서울,2025-02-02,1.5,-2.5,6.8,.08,,,,,0,2,67.1
108,서울,2025-02-03,-4.1,-8.2,.6,,,,,,,4.2,48.8
108,서울,2025-02-04,-9,-11.5,-5.3,,,,,,,3.7,50.8
108,서울,2025-02-05,-8.6,-11.8,-3.7,,,,,,,3.2,49.1
108,서울,2025-02-06,-5.6,-11.5,-.2,2.75,,,,,2.3,1.7,59.9
108,서울,2025-02-07,-8,-10.7,-4.7,6.17,,,,,.4,3.9,60.1
108,서울,2025-02-08,-7.9,-11.5,-3.4,,,,,,,2.8,54.5
108,서울,2025-02-09,-4.7,-9.6,1.7,,,,,,,2.2,63.8
108,서울,2025-02-10,-2.6,-7.5,2.6,1.58,,,,,0,2.1,61
108,서울,2025-02-11,.5,-5.7,7,,,,,,,2,59.8
108,서울,2025-02-12,.5,-2.9,2.5,12.5,,,,,2.5,2.6,75.8
108,서울,2025-02-13,.2,-5.8,6.1,,,,,,,2.2,53.1
108,서울,2025-02-14,3.7,-1.6,10.1,,,,,,,1.9,67.4
108,서울,2025-02-15,4.1,.4,7.8,,,,,,,1.6,76.5
108,서울,2025-02-16,4.3,.4,9.7,,,,,,,2.5,75.6
108,서울,2025-02-17,-.3,-3.4,3.5,,,,,,,3.6,39.1
108,서울,2025-02-18,-2.3,-5.2,2.6,,,,,,,3.4,40.3
108,서울,2025-02-19,-3,-5.8,1.2,,,,,,,3,44.8
108,서울,2025-02-20,-2.9,-6.5,1.9,,,,,,,2.7,43.3
108,서울,2025-02-21,-2.5,-6.4,2.6,,,,,,,2.7,45.3
108,서울,2025-02-22,-2.3,-5.6,2.7,,,,,,,2.7,49.1
108,서울,2025-02-23,-3.6,-6.5,.5,,,,,,,3,45.4
108,서울,2025-02-24,-1.3,-6.3,4.7,,,,,,,2.3,49.8
108,서울,2025-02-25,2.1,-3.1,6.1,,,,,,,2.9,72.6
108,서울,2025-02-26,3.7,.7,9.1,,,,,,,2.6,49.4
108,서울,2025-02-27,5.8,-2,14.2,,,,,,,1.9,29.4
108,서울,2025-02-28,7.8,3.7,13.7,,,,,,,1.5,52.4
108,서울,2025-03-01,8.5,3.4,13,1.5,,,,,.6,2,68.5
108,서울,2025-03-02,8.3,2.2,15.6,9.42,,,,,11.8,3.7,68
108,서울,2025-03-03,3.1,1,7.1,7.33,,,,,10.4,6.3,63.5
108,서울,2025-03-04,2.5,.9,3.4,8.75,,,,,4,4.5,68.3
108,서울,2025-03-05,4.8,2.3,9.2,.5,,,,,0,2.2,63.3
108,서울,2025-03-06,4.8,-.4,10.4,,,,,,,2.3,55.1
108,서울,2025-03-07,5.3,0,11.1,,,,,,,1.8,49.3
108,서울,2025-03-08,5.8,2.8,11.2,,,,,,,2.2,55
108,서울,2025-03-09,6.9,1.2,13.5,,,,,,,1.7,67.3
108,서울,2025-03-10,8,2.4,14.9,,,,,,,2.1,59.8
108,서울,2025-03-11,9.4,2.9,16.6,,,,,,,1.8,58
108,서울,2025-03-12,8.5,6.7,11.8,1.08,,,,,0,2.1,72.3
108,서울,2025-03-13,8.9,3.2,15,,,,,,,2.4,54.6
108,서울,2025-03-14,12.4,5,20.1,,,,,,,1.8,31.4
108,서울,2025-03-15,12.6,10,17.2,.75,,,,,0,2.8,39.1
108,서울,2025-03-16,4.9,1.3,10.1,9,,,,,.8,3.6,56.3
108,서울,2025-03-17,2.5,-1.3,6.8,3.92,,,,,.4,2.9,46
108,서울,2025-03-18,2.1,.3,5.6,12.92,,,,,9.9,2.8,70.6
108,서울,2025-03-19,2.4,-1.9,7.3,,,,,,,2.4,49.5
108,서울,2025-03-20,8.2,2.2,15,,,,,,,2.7,62.8
108,서울,2025-03-21,11.6,7.9,18.7,,,,,,,2.9,61.3
108,서울,2025-03-22,12.8,6.1,19.9,,,,,,,2.7,53.8
108,서울,2025-03-23,15.2,7.1,24,,,,,,,1.9,49
108,서울,2025-03-24,15.5,11.7,21.3,.67,,,,,0,3,56.1
108,서울,2025-03-25,12.7,8.4,21.4,,,,,,,3.3,63.5
108,서울,2025-03-26,15.5,6,23.9,,,,,,,2.2,46.4
108,서울,2025-03-27,13.7,7.1,18.6,4.83,,,,,.3,3.2,65.1
108,서울,2025-03-28,6.5,3.1,11.8,,,,,,,3.7,41.6
108,서울,2025-03-29,3.3,.6,6.7,2.25,,,,,0,3.6,40.8
108,서울,2025-03-30,3.3,-1.8,7.6,4.67,,,,,0,2.8,51.1
108,서울,2025-03-31,7.7,1.2,14.1,,,,,,,2.2,50.5
108,서울,2025-04-01,10.1,3.9,17,,,,,,,1.8,53
108,서울,2025-04-02,8.9,5.2,14.4,.32,0,,0,,0,2.4,55.4
108,서울,2025-04-03,9.8,3.6,16.9,,,,,,,2.4,58.6
108,서울,2025-04-04,10.6,6,16.4,,,,,,,2.2,54.5
108,서울,2025-04-05,8,7.5,9.5,18.22,1.1,1745,4.3,916,22.8,1.9,86.1
108,서울,2025-04-06,10.3,6.9,15.7,.33,0,,0,,0,2.8,67.3
108,서울,2025-04-07,13.5,5.5,20.1,,,,,,,2.7,54.5
108,서울,2025-04-08,13.8,10.7,18.9,,,,,,,3.1,55
108,서울,2025-04-09,12.7,8.4,18,2.52,.5,1926,.8,1839,.8,2,51.6
108,서울,2025-04-10,13.2,8.8,19.1,3.42,0,,0,,0,2.2,60.6
108,서울,2025-04-11,16.2,8.1,24.2,,,,,,,2,51.8
108,서울,2025-04-12,12.9,1.4,22.5,11.17,1,2151,4.2,2144,15.4,3.1,66.5
108,서울,2025-04-13,5.5,1.1,8.2,6.47,.6,16,2.7,-2334,4.2,4.2,71.1
108,서울,2025-04-14,4.4,2.6,6,11.88,2,1123,3.9,1117,7.4,2.5,87.4
108,서울,2025-04-15,8.2,2.3,14,,,,,,,2.7,70.3
108,서울,2025-04-16,14.6,6.4,21.9,,,,,,,2.5,58
108,서울,2025-04-17,19.7,15.8,24.7,,,,,,,2.6,63.5
108,서울,2025-04-18,18.6,15.4,23.7,.83,0,,0,,0,2.4,67.9
108,서울,2025-04-19,15.3,12.2,20,11.5,1.6,1829,3.6,1741,9.2,3,89.1
108,서울,2025-04-20,16.7,9.5,24.1,,,,,,,1.7,70
108,서울,2025-04-21,20.7,14.2,27.1,,,,,,,2.2,65.3
108,서울,2025-04-22,17.8,14.2,20.4,11.53,2.5,622,8.4,604,34.8,1.5,87.8
108,서울,2025-04-23,16.8,10.9,22.9,,,,,,,2.5,62.4
108,서울,2025-04-24,14.7,10.7,19.6,,,,,,,3.1,52.4
108,서울,2025-04-25,12.5,7.7,17.8,,,,,,,3,38.4
108,서울,2025-04-26,13.8,7.2,20,,,,,,,2.8,53.1
108,서울,2025-04-27,14.9,10.7,19.1,,,,,,,2.8,46.4
108,서울,2025-04-28,15.1,10.3,20.2,,,,,,,2.7,45.6
108,서울,2025-04-29,14.8,8.2,21,,,,,,,2.3,34.1
108,서울,2025-04-30,18.4,10,25.8,,,,,,,2.6,36.3
108,서울,2025-05-01,14.7,11.3,17.6,7.6,2.5,1246,9,1237,21.1,2.2,69.6
108,서울,2025-05-02,13.4,8.2,18.5,.75,0,,0,,0,3.1,59.3
108,서울,2025-05-03,11.2,9.5,14,11.55,.6,415,2.2,402,7.3,2.3,80.5
108,서울,2025-05-04,13.7,8.2,19.9,,,,,,,2.8,60.9
108,서울,2025-05-05,12.1,9.3,15,,,,,,,2.3,64.5
108,서울,2025-05-06,14.4,8.5,19.5,,,,,,,2.2,57.5
108,서울,2025-05-07,14.9,9.9,21.1,,,,,,,2.2,61.5
108,서울,2025-05-08,17.4,9.7,24.9,,,,,,,1.8,53.5
108,서울,2025-05-09,15.1,14.1,17.4,17.17,1.4,1622,3.6,1439,17.6,3,81.8
108,서울,2025-05-10,12.3,11.6,15.3,16.25,.8,249,2.7,-2356,14.1,3.5,95.5
108,서울,2025-05-11,14.7,11.4,20.2,.83,0,,0,,0,1.9,76.9
108,서울,2025-05-12,17,9.8,23.6,,,,,,,2.1,62.6
108,서울,2025-05-13,19.9,13.3,25.8,,,,,,,2.7,47.4
108,서울,2025-05-14,21,14.1,26.7,.5,0,,0,,,2.4,52.8
108,서울,2025-05-15,19.5,16.8,22.2,9.5,.1,,.4,639,1.1,2.3,80.9
108,서울,2025-05-16,19.4,17.8,22,18.58,7.7,1607,14.2,1549,51.3,1.8,92.6
108,서울,2025-05-17,18.3,14.7,24.3,6.08,1.1,1811,2.2,1725,2.2,2.6,86.4
108,서울,2025-05-18,15.6,11.4,21,,,,,,,2.6,59.3
108,서울,2025-05-19,16.1,10.5,20.9,5.08,.3,1950,.8,1945,1.6,2.8,70.4
108,서울,2025-05-20,22.2,17.4,27.3,10.17,.2,,.7,-2355,1,2.5,85.5
108,서울,2025-05-21,25.5,22.3,30.8,,,,,,,2.1,75.5
108,서울,2025-05-22,23.9,20,28.5,2.75,.5,529,.7,456,.8,2.1,68
108,서울,2025-05-23,19.4,15.4,22.2,4.67,.4,2126,.8,2115,1.2,2.8,53.8
108,서울,2025-05-24,15.6,13,19.3,5.83,.6,145,2.4,105,4.3,3.1,69.1
108,서울,2025-05-25,17.4,11.7,22.6,,,,,,,2.1,61
108,서울,2025-05-26,19.7,13,26.2,,,,,,,1.7,59.4
108,서울,2025-05-27,20.8,14.7,27,,,,,,,1.9,57
108,서울,2025-05-28,20.8,16.3,26.9,.68,0,,0,,0,1.8,62
108,서울,2025-05-29,21.2,15.3,27.3,,,,,,,2.2,58.4
108,서울,2025-05-30,22.2,16.7,28.3,,,,,,,1.7,55
108,서울,2025-05-31,21.5,16.4,27,,,,,,,2,55
108,서울,2025-06-01,22.6,17,29.3,,,,,,,2,57.8
108,서울,2025-06-02,21,19.2,23.1,5.67,0,,0,,0,1.5,64.3
108,서울,2025-06-03,20.9,17,25.3,,,,,,,2.9,56.9
108,서울,2025-06-04,20.5,15.2,25.3,,,,,,,3.5,55.3
108,서울,2025-06-05,21.7,15.6,27.1,,,,,,,2.3,49.8
108,서울,2025-06-06,24.1,17.7,30,,,,,,,3,42.6
108,서울,2025-06-07,23.7,19.8,28.2,1.43,.1,,.6,2320,.1,2.6,61.4
108,서울,2025-06-08,25.1,21.4,30.4,2.42,.6,10,.6,1,.6,1.7,69.3
108,서울,2025-06-09,24.2,20.6,30.2,.42,0,,0,,0,2.6,66.6
108,서울,2025-06-10,21.7,18.8,25.3,.08,0,,0,,0,2.5,71.6
108,서울,2025-06-11,22.7,15.9,28.5,,,,,,,2.4,54.6
108,서울,2025-06-12,25.5,17.9,33.1,,,,,,,1.9,50.4
108,서울,2025-06-13,24,20.1,29.4,5.08,.9,2116,1.5,2038,1.5,1.9,60.9
108,서울,2025-06-14,25.6,20.3,32.1,,,,,,,2,66.3
108,서울,2025-06-15,26.3,21.7,33.2,5.08,3.1,2222,7.9,2147,11.8,2.5,69.6
108,서울,2025-06-16,23,21.8,25.1,10.5,9.5,1329,13.1,1310,20,2.7,87.8
108,서울,2025-06-17,24.8,21.1,29.6,,,,,,,2.5,73.3
108,서울,2025-06-18,25.5,21.2,30.9,,,,,,,2,65.3
108,서울,2025-06-19,28.1,21.1,34.2,.92,.6,2126,.8,2111,.8,2,57.9
108,서울,2025-06-20,24.1,22.2,28.3,23.67,2.6,1411,8,501,51.1,3.9,93.4
108,서울,2025-06-21,22,20.5,24.2,8.17,.2,,.5,-2331,.2,2.1,88.1
108,서울,2025-06-22,23.3,18.1,28.6,,,,,,,2.3,68.6
108,서울,2025-06-23,26.1,19.4,31.7,,,,,,,1.8,64.8
108,서울,2025-06-24,25,20.5,28,4.08,.9,2132,2.1,2116,2.3,2.6,63.4
108,서울,2025-06-25,20.9,19.5,22.1,18.08,1,1831,2.8,1818,8,2.5,88.9
108,서울,2025-06-26,22.2,19.9,24.2,3.5,.3,356,1,319,1.1,1.7,85.3
108,서울,2025-06-27,25,21.1,29.3,1.97,0,,0,,0,1.4,78.1
108,서울,2025-06-28,26.2,24.5,28.1,5.83,.2,,.5,616,.6,1.4,85
108,서울,2025-06-29,27.1,24.9,30.2,1,0,,0,,0,2.3,77.1
108,서울,2025-06-30,28.2,25.6,31.2,,,,,,,2.4,74.6
108,서울,2025-07-01,28.6,26.2,31.8,3.67,.9,700,.9,610,.9,3,78.6
108,서울,2025-07-02,28.6,26.8,30.9,.33,0,,0,,0,2.9,76.3
108,서울,2025-07-03,28.3,26.5,32,.08,0,,0,,0,2.8,75.5
108,서울,2025-07-04,27.2,25.7,30,1.75,0,,0,,0,3.2,77
108,서울,2025-07-05,28.4,26,32.3,,,,,,,2.8,72.9
108,서울,2025-07-06,29.1,26.3,32.8,,,,,,,2.5,74.3
108,서울,2025-07-07,29.1,26.7,33.2,,,,,,,1.9,79
108,서울,2025-07-08,31.3,26.9,37.8,3,5.3,1826,6.4,1815,11.8,1.9,72.5
108,서울,2025-07-09,31.9,27.4,36,,,,,,,2.2,61.1
108,서울,2025-07-10,31.4,27.3,36.2,,,,,,,2.9,46.6
108,서울,2025-07-11,30.2,24.6,36.1,,,,,,,3.3,47.1
108,서울,2025-07-12,30.3,24.4,36.5,,,,,,,2.3,47.5
108,서울,2025-07-13,27.7,25.6,31,2.5,0,,0,,0,1.5,66.8
108,서울,2025-07-14,24.2,21.7,28.1,12.25,.9,1522,4,2104,13.6,2,78.3
108,서울,2025-07-15,23.6,21.5,25.9,11.17,.6,39,1.3,11,4,2.3,84.1
108,서울,2025-07-16,23.3,22.2,24.8,16.33,8,2032,27,2025,73.1,2.1,90.1
108,서울,2025-07-17,23.3,22,24.4,18.58,19,629,32.5,626,75.5,2.1,94.3
108,서울,2025-07-18,24.7,22.9,27.2,11,4.7,833,9.5,812,16.1,1.7,89.5
108,서울,2025-07-19,23.9,21.9,25.8,23.17,10.4,316,32.1,247,84,2,95.4
108,서울,2025-07-20,27.7,25,31.3,6.92,3.3,44,7.2,9,14.8,2.8,82.8
108,서울,2025-07-21,28.5,25.6,31.6,1,0,,0,,0,2.3,77.4
108,서울,2025-07-22,28.8,26.6,32.2,.58,.1,,.1,,.1,2.7,75.6
108,서울,2025-07-23,28.9,25.5,33.3,,,,,,,1.8,70.4
108,서울,2025-07-24,29.8,25.8,34.1,,,,,,,1.9,68
108,서울,2025-07-25,31.1,25.6,36.3,,,,,,,1.9,64.6
108,서울,2025-07-26,32.3,27.6,37.1,,,,,,,1.7,61.9
108,서울,2025-07-27,32.8,28.3,38,,,,,,,2,62.4
108,서울,2025-07-28,32.2,28.8,36.4,,,,,,,2,67.3
108,서울,2025-07-29,32,27.6,36.7,,,,,,,2,64
108,서울,2025-07-30,32.1,28.3,36.3,,,,,,,1.7,62.9
108,서울,2025-07-31,30.9,29.3,34.6,,,,,,,2,62.3
108,서울,2025-08-01,31,27.8,35.1,.25,0,,0,,0,1.9,66.9
108,서울,2025-08-02,31.2,27.3,36.2,,,,,,,1.8,62.1
108,서울,2025-08-03,28.8,24,32.5,7.25,.6,2353,1.4,2328,1.3,2,69
108,서울,2025-08-04,28.1,23.7,33.9,5.92,.4,18,.9,427,1.9,2.2,75.5
108,서울,2025-08-05,29.1,25.4,33.5,,,,,,,2.2,67.4
108,서울,2025-08-06,27.1,25.8,29.3,10.5,4.3,1405,9.6,1323,22,3.2,89
108,서울,2025-08-07,28.2,25.4,32.3,,,,,,,2.7,70.8
108,서울,2025-08-08,26.6,23.9,30.2,1.75,5,1513,6.3,1446,6.3,1.6,74.8
108,서울,2025-08-09,24.9,23.1,26.4,5.92,1.2,1128,2.8,1115,3.5,1.4,82.1
108,서울,2025-08-10,27.3,21,33.2,,,,,,,1.7,70
108,서울,2025-08-11,27,25,29.5,.25,0,,0,,0,2,73.9
108,서울,2025-08-12,28.6,23.3,34.1,,,,,,,2.2,62.9
108,서울,2025-08-13,25.1,22,27.1,15.67,16.5,1153,32.7,538,126.7,2.6,91.8
108,서울,2025-08-14,25.5,24.2,26.9,12.48,12.3,723,24.6,705,47.8,2.2,91.1
108,서울,2025-08-15,27.1,24.4,30.9,3.17,0,,0,,0,1.7,84.3
108,서울,2025-08-16,28.2,25.5,32.2,,,,,,,2.2,76
108,서울,2025-08-17,28.4,26.1,32,,,,,,,2.3,76.3
108,서울,2025-08-18,28.9,27,32.9,7.42,.4,2122,1.3,2122,2.2,3,75.6
108,서울,2025-08-19,29.1,26.9,32.3,,,,,,,3,75.3
108,서울,2025-08-20,29.4,26.9,32.8,.75,0,,0,,0,2.6,74.5
108,서울,2025-08-21,29.8,27.4,34.3,,,,,,,2.2,70.6
108,서울,2025-08-22,29.4,26.1,33.5,,,,,,,2.1,71.5
108,서울,2025-08-23,29.3,27.4,32.2,,,,,,,1.9,74.9
108,서울,2025-08-24,30.2,26.9,34.7,,,,,,,1.7,69.4
108,서울,2025-08-25,28.7,26.3,32.2,6.93,10.8,936,14.2,923,17.1,2.8,80.6
108,서울,2025-08-26,27.6,25.5,31.8,8.75,1.2,421,2.5,417,5.4,2.8,81.8
108,서울,2025-08-27,26.7,23.6,30.8,,,,,,,1.6,73.8
108,서울,2025-08-28,28.3,24.7,31,,,,,,,2.7,72.9
108,서울,2025-08-29,29,27.3,32.8,6.82,11.5,1639,12.5,2045,32.2,3.5,82
108,서울,2025-08-30,28.4,25.8,31.8,6.92,8.6,511,10.7,428,23.9,2,81.1
108,서울,2025-08-31,28.5,25.1,31.8,.08,0,,0,,0,2.4,75.3
108,서울,2025-09-01,26.1,24.4,28.2,7.75,5.3,443,8.5,416,20.4,2.5,87.3
108,서울,2025-09-02,26,22,30.6,,,,,,,1.6,74.6
108,서울,2025-09-03,27.6,22.6,32.1,,,,,,,1.9,67.5
108,서울,2025-09-04,25.8,22.8,29.8,9.92,11.5,334,34.4,249,44.2,2.6,82.1
108,서울,2025-09-05,27.9,23.5,33,,,,,,,2.2,68.5
108,서울,2025-09-06,26.8,25.4,30.4,9.07,8.9,1651,14.9,1636,36.1,2.4,86.6
108,서울,2025-09-07,25.3,22.3,28.3,1.07,.2,,.5,-2331,.2,2.1,77.5
108,서울,2025-09-08,24.4,20.6,29.5,3.75,0,,0,,0,1.8,73
108,서울,2025-09-09,23.7,21.4,26.9,5.5,0,,0,,0,1.6,71.9
108,서울,2025-09-10,24.8,18.4,31.5,,,,,,,1.7,61.1
108,서울,2025-09-11,25.8,19.9,31.7,,,,,,,2.5,57.6
108,서울,2025-09-12,23.9,21.1,26.3,7.33,.7,2048,2.7,2329,6.8,2.7,68.8
108,서울,2025-09-13,23.3,20.4,27.6,8.58,6,153,22.5,137,63.7,2.4,81
108,서울,2025-09-14,24.8,21.5,29.3,,,,,,,1.6,72
108,서울,2025-09-15,25.7,20.8,30.7,,,,,,,1.5,71.6
108,서울,2025-09-16,23.7,22.2,27.1,4.27,9.7,1352,14.8,1352,17.5,1.5,86.8
108,서울,2025-09-17,22.7,21.2,24,8.5,21.5,1044,41.2,1010,52.7,1.7,92
108,서울,2025-09-18,22.1,19.6,26,,,,,,,2.6,74.4
108,서울,2025-09-19,19.4,17.9,21.4,15.08,2.5,2347,7.1,2325,13.8,2.8,82
108,서울,2025-09-20,20,17.5,23.6,8.58,2.8,234,11.6,204,35.3,1.8,85.4
108,서울,2025-09-21,21.6,17.2,27.3,,,,,,,2.1,67
108,서울,2025-09-22,21.3,17.6,25.1,,,,,,,2.5,59.8
108,서울,2025-09-23,22.7,19.2,26.8,.83,0,,0,,0,2.4,56.5
108,서울,2025-09-24,22,20.4,23.7,11.5,10.2,1330,24.6,1315,35.2,2.1,81.8
108,서울,2025-09-25,22.5,20.2,26.4,1.25,.2,,.3,10,.3,1.4,80
108,서울,2025-09-26,21.7,17.8,27.1,,,,,,,1.4,78.1
108,서울,2025-09-27,22.5,17.6,27.2,,,,,,,1.9,71.1
108,서울,2025-09-28,20,18.4,21.9,7.92,2.4,948,13,901,44.5,1.7,85.6
108,서울,2025-09-29,19.6,16.6,23.9,,,,,,,1.5,77.8
108,서울,2025-09-30,19.8,17.3,24,,,,,,,1.4,81.3
108,서울,2025-10-01,20.5,16.7,25.6,,,,,,,1.7,78.1
108,서울,2025-10-02,21.4,17.3,25.8,,,,,,,1.5,74.5
108,서울,2025-10-03,21.2,19.8,22.3,9.33,.2,,.3,330,.8,2.4,75.5
108,서울,2025-10-04,22.5,20.9,25,2.23,0,,0,,0,1.9,74.6
108,서울,2025-10-05,21.4,20.6,22.3,7.17,3.9,1042,10.4,1001,18.1,1.6,89.6
108,서울,2025-10-06,17.6,15.4,20.7,19.67,2.3,2321,8.1,2249,36.8,3.8,93.8
108,서울,2025-10-07,18.2,15.5,20,22.67,.5,-2356,2,-2350,7.1,3.1,94.9
108,서울,2025-10-08,21.9,17.2,28,.58,0,,0,,0,1.4,72.8
108,서울,2025-10-09,20,16.9,22.6,8,.1,,.2,,0,3.3,69.6
108,서울,2025-10-10,17,16,17.7,23.92,2,1935,7,1859,49.3,2.9,98.1
108,서울,2025-10-11,20.3,17.3,23.8,16.17,1.5,135,4.8,55,22.5,2.4,93.1
108,서울,2025-10-12,19,17.6,21.4,2.5,.1,,.1,,.1,2.3,84.6
108,서울,2025-10-13,15.7,13.9,18.3,17,1.4,1710,4.7,1653,25.1,3.5,94.4
108,서울,2025-10-14,17.9,14.4,20.9,6.5,.2,,.4,410,.6,3.1,80.3
108,서울,2025-10-15,20.2,16.1,25.3,6.08,.3,2305,1.2,2251,1.5,2.4,74.8
108,서울,2025-10-16,20.2,17,24.8,3.58,.2,,.6,1,1.3,2.4,75.3
108,서울,2025-10-17,19.9,15.6,24.8,7.75,1.7,2127,5.3,2058,11.3,2.3,74.8
108,서울,2025-10-18,15.8,14.2,18.6,7.83,.6,209,2.8,236,11.2,2.3,87.8
108,서울,2025-10-19,14.5,8.9,19.2,,,,,,,2.8,71.5
108,서울,2025-10-20,10,5.3,16.5,,,,,,,2.7,65.9
108,서울,2025-10-21,9.2,4.8,14.1,,,,,,,1.6,68.3
108,서울,2025-10-22,13.1,6.6,18.6,,,,,,,1.5,72.1
108,서울,2025-10-23,14.9,11.8,19.6,,,,,,,2,70.3
108,서울,2025-10-24,15.8,11.3,21.5,,,,,,,2.1,66.5
108,서울,2025-10-25,14.4,12.6,17.7,,,,,,,2.1,66.9
108,서울,2025-10-26,12.2,10.6,13.9,2.67,.3,1229,.4,1132,.5,1.7,70.1
108,서울,2025-10-27,8.1,3.7,12.2,,,,,,,2.8,45
108,서울,2025-10-28,8.5,3,14.4,,,,,,,1.4,52.4
108,서울,2025-10-29,11.4,6.2,18.3,,,,,,,1.7,65
108,서울,2025-10-30,12.8,7.7,18.2,,,,,,,1.5,70.3
108,서울,2025-10-31,15.1,11.3,20.7,2.83,.3,2356,.7,2330,.1,2,69.9
108,서울,2025-11-01,12.9,10.5,17.7,4.67,,,,,2.4,2.3,73
108,서울,2025-11-02,8,3.7,11.7,.32,,,,,.2,3.1,57
108,서울,2025-11-03,7.2,.5,14.7,,,,,,,1.5,54.1
108,서울,2025-11-04,10.2,5.5,16.3,,,,,,,1.5,60.6
108,서울,2025-11-05,11.6,5.7,19,,,,,,,1.4,60
108,서울,2025-11-06,12.5,7.3,18.8,,,,,,,1.6,69.9
108,서울,2025-11-07,13.9,8.3,19.9,,,,,,,1.9,66.3
108,서울,2025-11-08,14.5,12.3,17,.52,,,,,0,2.2,69.4
108,서울,2025-11-09,13.5,10.4,17.6,,,,,,,2.6,64.1
108,서울,2025-11-10,8.3,5.4,12.7,,,,,,,2.5,37.6
108,서울,2025-11-11,8.9,3.9,15.1,,,,,,,1.6,57.6
108,서울,2025-11-12,10.8,6,17.7,,,,,,,1.8,65.5
108,서울,2025-11-13,11.1,6.7,17.6,,,,,,,1.7,65.4
108,서울,2025-11-14,9.1,4.5,15.1,,,,,,,1.9,53.8
108,서울,2025-11-15,9.8,3.6,17.5,,,,,,,1.3,49.1
108,서울,2025-11-16,11.6,5.5,18.7,1.25,,,,,.3,2.4,58.4
108,서울,2025-11-17,3.2,-.7,9.7,,,,,,,3.7,37.4
108,서울,2025-11-18,1.6,-2,6.5,,,,,,,2.3,47.1
108,서울,2025-11-19,3,-1.6,8.6,,,,,,,1.6,50.1
108,서울,2025-11-20,7.4,1.6,14.6,,,,,,,2.5,58.8
108,서울,2025-11-21,7.4,1,12.5,,,,,,,1.9,58.5
108,서울,2025-11-22,9.6,5.4,15.1,,,,,,,1.7,65.3
108,서울,2025-11-23,10.9,6.6,14.4,,,,,,,2.1,69.6
108,서울,2025-11-24,12.4,9.6,16.8,,,,,,,1.8,72.5
108,서울,2025-11-25,7.4,5.3,9.6,3.58,,,,,7.8,2.5,81.1
108,서울,2025-11-26,6.4,3.5,10.9,,,,,,,1.5,66.4
108,서울,2025-11-27,5.1,2.5,8.7,5.83,,,,,10,3,77.4
